leak_node,leak_diam_mm,leak_at,closest_sensor,dd_auc_d3,dd_timepoint_d3,dd_score_d3,dd_auc_ks,dd_timepoint_ks,dd_score_ks
n122,11,2935800,n105,0.95,2937600,0.055314182964852576,0.6,2937600,0.7916666666666666
n125,11,6147900,n114,0.9925373134328358,6134400,0.03704294217687076,0.85,6134400,0.7752976190476191
n128,11,1139400,n495,0.95,1123200,0.09888082837301593,0.8,864000,0.7842261904761905
n129,11,673200,n519,1.0,691200,0.07702885841836737,0.8333333333333333,777600,0.7559523809523809
n131,11,3983400,n114,0.9925373134328358,3974400,0.005852731717687076,0.9,3974400,0.7276785714285714
n132,11,5184000,n506,0.9925373134328358,5184000,0.017438616071428492,0.85,5184000,0.7648809523809523
n133,11,4755600,n495,0.9925373134328358,4752000,0.10425524376417239,0.65,4752000,0.8065476190476191
n135,11,1341900,n516,0.9925373134328358,1296000,0.030900120464852687,0.9425373134328358,1296000,0.6741071428571428
n137,11,1144800,n506,1.0,1123200,0.05110012755102045,0.8,864000,0.7767857142857143
n140,11,4568400,n519,0.9925373134328358,4579200,0.06797185019841268,0.75,4579200,0.7842261904761905
n142,11,2176200,n549,1.0,2160000,0.039159934807256214,0.75,2160000,0.7678571428571428
n143,11,4334400,n332,1.0,4320000,0.07141085600907016,0.7,4320000,0.7708333333333334
n144,11,2559600,n519,1.0,2505600,0.1560352005385488,0.55,2592000,0.8125
n147,11,1581300,n332,1.0,1555200,0.05614902210884343,0.6,1641600,0.7991071428571428
n149,11,3177900,n332,1.0,3196800,0.0921135381235828,0.65,3196800,0.8080357142857143
n151,11,7099200,n332,0.9929577464788732,7084800,0.0697168190192744,0.5833333333333334,7171200,0.8125
n152,11,1111500,n549,0.9925373134328358,1123200,0.019411670918367263,0.9,1123200,0.7261904761904762
n153,11,7086600,n519,1.0,7084800,0.07829108205782309,0.5833333333333334,7171200,0.8244047619047619
n156,11,2405700,n332,1.0,2419200,0.08230583900226751,0.65,2419200,0.7857142857142857
n157,11,3329100,n332,0.95,3283200,0.1124663407029477,0.6,3283200,0.8110119047619048
n159,11,2705400,n163,1.0,2678400,0.11126833545918369,0.6,2678400,0.8184523809523809
n163,11,1767600,n163,1.0,1814400,0.09923292233560077,0.7,1814400,0.7857142857142857
n164,11,3834900,n163,0.95,3801600,0.11497307256235823,0.5,3888000,0.8407738095238095
n165,11,6751800,n549,0.9925373134328358,6739200,0.034469777494331,0.65,6739200,0.7738095238095238
n166,11,4609800,n163,0.9425373134328358,4579200,0.11605814200680264,0.65,4579200,0.8080357142857143
n169,11,5791500,n458,1.0,5875200,0.16189236111111105,0.65,5788800,0.7886904761904762
n171,11,2835000,n163,0.95,2851200,0.11188173185941042,0.6,2851200,0.7976190476190477
n172,11,5113800,n549,0.9925373134328358,5097600,0.02656427154195007,0.85,5097600,0.7872023809523809
n174,11,6554700,n163,1.0,6566400,0.1283216411564625,0.5,6566400,0.8407738095238095
n177,11,5426100,n188,0.9925373134328358,5443200,0.09670183177437641,0.7,5443200,0.7708333333333334
n180,11,4504500,n163,1.0,4492800,0.13100552721088432,0.65,4492800,0.8050595238095238
n182,11,662400,n163,0.9166666666666667,691200,0.18218537414965985,0.75,777600,0.7752976190476191
n183,11,5528700,n188,0.9925373134328358,5529600,0.08110783375850339,0.7,5529600,0.7901785714285714
n187,11,6628500,n188,1.0,6652800,0.1057477678571428,0.55,6652800,0.8169642857142857
n188,11,4693500,n188,1.0,4665600,0.07952230371315183,0.65,4665600,0.7916666666666666
n189,11,2811600,n188,1.0,2851200,0.08307645975056677,0.65,2851200,0.7991071428571428
n191,11,5495400,n342,0.9,5529600,0.19579745960884365,0.65,5443200,0.8050595238095238
n192,11,1368000,n613,0.95,1382400,0.1062194409013606,0.65,1382400,0.7946428571428572
n193,11,7078500,n188,0.9285714285714286,7084800,0.08436747094671193,0.5,7171200,0.8363095238095238
n194,11,1594800,n188,1.0,1555200,0.1317075007086168,0.6,1641600,0.8095238095238095
n198,11,2554200,n342,0.95,2592000,0.17441051941609975,0.6,2592000,0.8080357142857143
n199,11,1455300,n188,1.0,1468800,0.08867453231292521,0.7,1468800,0.8050595238095238
n201,11,7164000,n613,1.0,7171200,0.07124255952380965,0.5833333333333334,7171200,0.8154761904761905
n203,11,1393200,n613,0.95,1382400,0.07405709679705219,0.65,1382400,0.7991071428571428
n205,11,6077700,n229,0.9925373134328358,6048000,0.02351057610544216,0.9850746268656717,6048000,0.13244047619047616
n209,11,4683600,n215,0.9925373134328358,4665600,0.007478121456916065,0.9850746268656717,4665600,0.029761904761904767
n212,11,1750500,n215,0.9925373134328358,1728000,0.012788318452380931,0.9850746268656717,1728000,0.03720238095238093
n213,11,2612700,n215,1.0,2592000,0.013607656604308405,0.9850746268656717,2592000,0.034226190476190466
n217,11,2682000,n215,0.9850746268656717,2678400,0.00133972859977316,0.9925373134328358,2678400,0.005952380952380931
n219,11,5063400,n342,0.9,5011200,0.28313669217687076,0.5,5011200,0.8497023809523809
n222,11,2157300,n644,0.9,2160000,0.21358595521541945,0.55,2160000,0.8184523809523809
n223,11,5895000,n644,1.0,5875200,0.12957500708616776,0.7,5788800,0.7827380952380952
n227,11,3132000,n229,1.0,3110400,0.019176941609977294,0.95,3110400,0.5133928571428572
n229,11,2105100,n229,1.0,2073600,0.021506519274376412,0.85,2073600,0.6741071428571428
n232,11,5672700,n644,1.0,5702400,0.08898676658163263,0.8,5702400,0.7380952380952381
n233,11,5280300,n229,0.9850746268656717,5270400,0.005015678146258473,0.9925373134328358,5270400,0.1517857142857143
n234,11,6893100,n229,1.0,6912000,0.021674815759637256,1.0,6912000,0.3348214285714286
n238,11,2550600,n644,0.95,2505600,0.08762489370748294,0.7,2505600,0.7738095238095238
n239,11,4330800,n644,1.0,4320000,0.09160200538548757,0.7,4320000,0.7678571428571428
n242,11,4206600,n215,0.9850746268656717,4233600,0.01913265306122447,0.9850746268656717,4233600,0.04613095238095233
n243,11,2456100,n229,1.0,2419200,0.028486394557823203,0.9850746268656717,2419200,0.06994047619047616
n244,11,6842700,n644,1.0,6825600,0.07884468891723351,0.6111111111111112,6825600,0.8110119047619048
n245,11,979200,n679,1.0,950400,0.09428367701247165,0.75,864000,0.7351190476190477
n248,11,1285200,n679,1.0,1296000,0.13392192814625847,0.5,1296000,0.8273809523809523
n253,11,5281200,n215,0.9776119402985074,5270400,0.0032574227607710116,0.9850746268656717,5270400,0.02083333333333337
n255,11,3726900,n288,0.9925373134328358,3715200,0.06516617063492058,0.65,3715200,0.7916666666666666
n256,11,6719400,n644,1.0,6739200,0.06919864299886624,0.8,6739200,0.7752976190476191
n257,11,2644200,n679,1.0,2592000,0.06562677154195007,0.8,2678400,0.7366071428571428
n258,11,929700,n679,0.9926470588235294,950400,0.07977917729591844,0.7777777777777778,864000,0.7306547619047619
n261,11,630900,n288,1.0,604800,0.044390412414965996,0.9166666666666667,777600,0.7485119047619048
n262,11,3063600,n679,0.9925373134328358,3024000,0.0707044536564626,0.75,3024000,0.7663690476190477
n263,11,6290100,n679,0.9925373134328358,6307200,0.0686273207199547,0.7,6307200,0.7723214285714286
n264,11,1568700,n288,0.9925373134328358,1555200,0.05116434594671204,0.7,1555200,0.7827380952380952
n265,11,5301900,n679,0.9925373134328358,5270400,0.06600543863378694,0.8,5270400,0.7425595238095238
